case,activity,time,duration,resource
1,a,08:04,0.18,R3
1,d,08:15,0.73,R1
1,b,08:59,0.26,R4
2,a,08:12,0.37,R4
2,c,08:34,0.61,R2
2,b,09:11,0.16,R3
3,a,08:11,0.08,R4
3,c,08:15,0.53,R2
3,b,08:47,0.3,R4
4,a,08:04,0.04,R4
4,c,08:07,0.96,R2
4,b,09:05,0.44,R4
5,a,08:27,0.13,R4
5,c,08:35,0.51,R2
5,b,09:05,0.4,R4
6,a,08:00,0.49,R3
6,c,08:29,0.84,R2
6,b,09:20,0.49,R3
7,a,08:30,0.2,R4
7,d,08:42,0.5,R1
7,b,09:13,0.44,R3
8,a,08:45,0.23,R4
8,d,08:59,0.68,R1
8,b,09:41,0.33,R4
9,a,08:13,0.1,R4
9,d,08:19,0.94,R1
9,b,09:15,0.31,R3
10,a,08:09,0.21,R3
10,d,08:22,0.57,R1
10,b,08:57,0.19,R4
11,a,08:12,0.15,R4
11,c,08:21,0.96,R2
11,b,09:19,0.02,R3
12,a,08:07,0.11,R4
12,d,08:13,0.88,R1
12,b,09:07,0.37,R4
13,a,09:02,0.21,R4
13,d,09:15,0.53,R1
13,b,09:47,0.17,R4
14,a,08:51,0.33,R3
14,d,09:11,0.98,R1
14,b,10:11,0.2,R3
15,a,08:36,0.07,R3
15,d,08:40,0.98,R1
15,b,09:39,0.35,R4
16,a,10:02,0.07,R4
16,c,10:06,0.6,R2
16,b,10:42,0.1,R3
17,a,08:49,0.49,R4
17,c,09:19,0.71,R2
17,b,10:01,0.48,R3
18,a,08:14,0.07,R3
18,d,08:19,0.73,R1
18,b,09:03,0.27,R3
19,a,08:03,0.46,R3
19,d,08:31,0.8,R1
19,b,09:19,0.34,R4
20,a,08:22,0.43,R4
20,c,08:48,0.82,R2
20,b,09:38,0.25,R4
21,a,08:10,0.43,R4
21,c,08:36,0.96,R2
21,b,09:34,0.11,R3
22,a,08:16,0.12,R3
22,d,08:23,0.58,R1
22,b,08:59,0.27,R3
23,a,08:13,0.33,R3
23,d,08:33,0.77,R1
23,b,09:19,0.3,R4
24,a,08:12,0.17,R3
24,c,08:22,0.65,R2
24,b,09:02,0.44,R3
25,a,08:03,0.45,R3
25,c,08:30,0.84,R2
25,b,09:21,0.03,R4
26,a,08:05,0.13,R4
26,c,08:13,0.62,R2
26,b,08:51,0.13,R3
27,a,10:17,0.06,R3
27,c,10:21,0.81,R2
27,b,11:10,0.3,R4
28,a,08:23,0.49,R3
28,d,08:53,0.55,R1
28,b,09:26,0.29,R3
29,a,08:17,0.43,R3
29,d,08:43,0.82,R1
29,b,09:33,0.42,R3
30,a,08:04,0.26,R3
30,d,08:20,0.73,R1
30,b,09:04,0.3,R4
31,a,09:52,0.49,R4
31,d,10:22,0.75,R1
31,b,11:07,0.24,R3
32,a,08:27,0.34,R4
32,d,08:48,0.63,R1
32,b,09:26,0.04,R3
33,a,08:49,0.12,R4
33,d,08:57,0.98,R1
33,b,09:56,0.4,R3
34,a,08:11,0.14,R3
34,d,08:20,0.75,R1
34,b,09:05,0.32,R4
35,a,09:00,0.24,R4
35,d,09:15,0.93,R1
35,b,10:12,0.31,R4
36,a,08:47,0.23,R4
36,c,09:01,0.76,R2
36,b,09:47,0.18,R4
37,a,08:01,0.37,R4
37,c,08:24,0.55,R2
37,b,08:57,0.03,R3
38,a,08:30,0.44,R3
38,d,08:57,0.6,R1
38,b,09:33,0.33,R4
39,a,08:20,0.33,R3
39,c,08:40,0.53,R2
39,b,09:12,0.43,R3
40,a,08:12,0.33,R3
40,c,08:32,0.54,R2
40,b,09:05,0.39,R3
41,a,08:00,0.27,R4
41,d,08:16,0.76,R1
41,b,09:02,0.23,R3
42,a,09:54,0.43,R4
42,d,10:20,0.69,R1
42,b,11:02,0.47,R4
43,a,08:00,0.49,R4
43,d,08:30,0.94,R1
43,b,09:27,0.28,R3
44,a,08:20,0.18,R3
44,d,08:31,0.74,R1
44,b,09:16,0.34,R3
45,a,08:10,0.42,R4
45,d,08:35,0.86,R1
45,b,09:27,0.33,R4
46,a,09:10,0.36,R3
46,c,09:31,0.75,R2
46,b,10:17,0.39,R4
47,a,08:48,0.24,R4
47,d,09:03,0.97,R1
47,b,10:02,0.1,R3
48,a,08:10,0.32,R4
48,d,08:29,0.61,R1
48,b,09:07,0.48,R3
49,a,08:14,0.14,R3
49,d,08:23,0.67,R1
49,b,09:04,0.4,R3
50,a,08:57,0.44,R3
50,d,09:24,0.5,R1
50,b,09:54,0.03,R4
51,a,08:12,0.08,R4
51,d,08:17,0.53,R1
51,b,08:49,0.29,R3
52,a,08:09,0.33,R4
52,d,08:28,0.62,R1
52,b,09:06,0.46,R3
53,a,08:10,0.47,R3
53,c,08:38,0.6,R2
53,b,09:15,0.25,R4
54,a,08:14,0.11,R3
54,d,08:20,0.75,R1
54,b,09:06,0.02,R4
55,a,09:01,0.15,R4
55,d,09:10,0.71,R1
55,b,09:53,0.11,R3
56,a,08:08,0.49,R4
56,c,08:38,0.51,R2
56,b,09:09,0.31,R4
57,a,08:02,0.18,R3
57,d,08:12,0.9,R1
57,b,09:07,0.05,R4
58,a,08:28,0.21,R3
58,d,08:41,0.72,R1
58,b,09:25,0.44,R4
59,a,08:16,0.25,R3
59,d,08:32,0.71,R1
59,b,09:15,0.29,R4
60,a,08:14,0.11,R4
60,d,08:20,0.84,R1
60,b,09:11,0.18,R3
61,a,08:16,0.29,R4
61,d,08:33,0.72,R1
61,b,09:17,0.23,R3
62,a,09:00,0.19,R3
62,c,09:11,0.58,R2
62,b,09:46,0.33,R3
63,a,08:03,0.14,R3
63,c,08:12,0.51,R2
63,b,08:43,0.11,R3
64,a,08:13,0.49,R3
64,d,08:43,0.75,R1
64,b,09:28,0.42,R4
65,a,08:25,0.36,R4
65,d,08:48,0.94,R1
65,b,09:45,0.07,R3
66,a,09:15,0.22,R4
66,d,09:28,0.7,R1
66,b,10:10,0.19,R3
67,a,08:26,0.06,R3
67,c,08:29,0.52,R2
67,b,09:01,0.18,R3
68,a,08:30,0.45,R3
68,d,08:57,0.8,R1
68,b,09:45,0.32,R4
69,a,08:16,0.28,R3
69,c,08:34,0.58,R2
69,b,09:09,0.46,R4
70,a,08:18,0.21,R4
70,c,08:31,0.76,R2
70,b,09:17,0.46,R3
71,a,08:03,0.32,R4
71,c,08:22,0.84,R2
71,b,09:13,0.03,R3
72,a,08:16,0.13,R3
72,c,08:24,0.89,R2
72,b,09:18,0.48,R3
73,a,08:25,0.02,R3
73,c,08:26,0.77,R2
73,b,09:13,0.14,R4
74,a,08:24,0.35,R4
74,d,08:45,0.77,R1
74,b,09:32,0.4,R4
75,a,08:30,0.34,R4
75,c,08:50,0.92,R2
75,b,09:46,0.07,R3
76,a,08:09,0.48,R3
76,d,08:38,0.59,R1
76,b,09:13,0.32,R4
77,a,08:01,0.14,R4
77,d,08:10,0.84,R1
77,b,09:01,0.23,R4
78,a,08:09,0.46,R4
78,c,08:37,0.97,R2
78,b,09:36,0.07,R3
79,a,08:36,0.29,R3
79,d,08:53,0.72,R1
79,b,09:37,0.29,R4
80,a,08:14,0.34,R3
80,c,08:34,0.87,R2
80,b,09:27,0.18,R3
81,a,08:06,0.24,R4
81,c,08:21,0.92,R2
81,b,09:17,0.4,R4
82,a,08:44,0.07,R4
82,c,08:48,0.95,R2
82,b,09:45,0.28,R3
83,a,08:12,0.43,R4
83,c,08:38,0.96,R2
83,b,09:36,0.29,R4
84,a,08:47,0.24,R4
84,d,09:01,0.89,R1
84,b,09:55,0.43,R3
85,a,08:01,0.04,R4
85,d,08:03,0.59,R1
85,b,08:39,0.19,R3
86,a,08:56,0.31,R3
86,d,09:15,0.85,R1
86,b,10:07,0.12,R4
87,a,08:23,0.05,R3
87,d,08:26,0.81,R1
87,b,09:15,0.2,R4
88,a,08:30,0.07,R4
88,c,08:34,0.96,R2
88,b,09:32,0.14,R4
89,a,08:02,0.41,R4
89,c,08:27,0.69,R2
89,b,09:09,0.14,R4
90,a,08:59,0.14,R3
90,d,09:08,0.85,R1
90,b,09:59,0.09,R4
91,a,08:47,0.31,R4
91,c,09:06,0.91,R2
91,b,10:01,0.11,R3
92,a,08:24,0.14,R4
92,d,08:33,0.82,R1
92,b,09:22,0.39,R4
93,a,08:10,0.41,R4
93,c,08:35,0.84,R2
93,b,09:26,0.45,R3
94,a,08:29,0.15,R3
94,c,08:38,0.56,R2
94,b,09:12,0.3,R3
95,a,09:02,0.16,R4
95,d,09:12,0.84,R1
95,b,10:03,0.46,R3
96,a,08:28,0.08,R3
96,d,08:33,0.8,R1
96,b,09:21,0.39,R3
97,a,08:50,0.4,R3
97,d,09:15,0.85,R1
97,b,10:06,0.04,R3
98,a,08:27,0.16,R4
98,c,08:36,0.83,R2
98,b,09:27,0.4,R4
99,a,08:46,0.07,R3
99,d,08:50,0.67,R1
99,b,09:31,0.37,R4
100,a,08:30,0.26,R3
100,d,08:45,0.61,R1
100,b,09:22,0.22,R3
101,a,08:24,0.43,R3
101,c,08:51,0.64,R2
101,b,09:29,0.19,R3
102,a,08:17,0.4,R3
102,c,08:41,0.61,R2
102,b,09:18,0.06,R4
103,a,08:22,0.48,R4
103,d,08:52,0.71,R1
103,b,09:35,0.25,R3
104,a,08:27,0.47,R3
104,d,08:56,0.51,R1
104,b,09:27,0.15,R4
105,a,09:37,0.06,R3
105,d,09:41,0.64,R1
105,b,10:19,0.37,R4
106,a,09:15,0.03,R4
106,d,09:16,0.76,R1
106,b,10:02,0.36,R4
107,a,08:01,0.44,R3
107,d,08:28,0.84,R1
107,b,09:19,0.42,R3
108,a,08:07,0.46,R3
108,d,08:35,0.67,R1
108,b,09:16,0.08,R4
109,a,08:18,0.24,R4
109,d,08:33,0.94,R1
109,b,09:30,0.29,R4
110,a,08:35,0.17,R3
110,c,08:46,0.65,R2
110,b,09:25,0.11,R4
111,a,08:03,0.36,R4
111,d,08:25,0.59,R1
111,b,09:01,0.17,R3
112,a,08:04,0.03,R3
112,d,08:06,0.89,R1
112,b,09:00,0.13,R4
113,a,08:33,0.46,R3
113,d,09:01,0.84,R1
113,b,09:52,0.42,R4
114,a,08:13,0.21,R4
114,c,08:26,0.98,R2
114,b,09:25,0.23,R3
115,a,08:21,0.14,R4
115,c,08:30,0.84,R2
115,b,09:20,0.39,R3
116,a,08:16,0.26,R3
116,c,08:32,0.67,R2
116,b,09:12,0.41,R4
117,a,08:26,0.1,R3
117,c,08:32,0.71,R2
117,b,09:15,0.05,R3
118,a,08:16,0.41,R3
118,c,08:40,0.61,R2
118,b,09:17,0.49,R4
119,a,08:59,0.07,R3
119,d,09:03,0.71,R1
119,b,09:47,0.39,R4
120,a,08:00,0.08,R3
120,c,08:05,0.83,R2
120,b,08:56,0.06,R3
121,a,08:14,0.47,R4
121,c,08:43,0.72,R2
121,b,09:26,0.3,R4
122,a,08:09,0.22,R3
122,c,08:22,0.85,R2
122,b,09:14,0.16,R3
123,a,09:27,0.17,R4
123,d,09:37,0.81,R1
123,b,10:26,0.05,R4
124,a,08:07,0.1,R3
124,d,08:13,0.78,R1
124,b,09:00,0.31,R3
125,a,08:34,0.37,R3
125,d,08:56,0.73,R1
125,b,09:40,0.07,R3
126,a,08:30,0.42,R4
126,c,08:55,0.61,R2
126,b,09:32,0.05,R3
127,a,08:21,0.28,R4
127,d,08:38,0.57,R1
127,b,09:12,0.19,R4
128,a,08:08,0.08,R3
128,c,08:13,0.55,R2
128,b,08:47,0.26,R4
129,a,08:49,0.22,R4
129,d,09:03,0.5,R1
129,b,09:33,0.26,R4
130,a,08:28,0.38,R4
130,d,08:50,0.97,R1
130,b,09:50,0.08,R3
131,a,08:05,0.1,R3
131,d,08:11,0.51,R1
131,b,08:42,0.46,R4
132,a,08:04,0.11,R3
132,d,08:11,0.55,R1
132,b,08:44,0.37,R4
133,a,08:02,0.49,R3
133,c,08:32,0.95,R2
133,b,09:29,0.45,R4
134,a,08:33,0.39,R4
134,c,08:56,0.95,R2
134,b,09:54,0.38,R3
135,a,08:29,0.39,R4
135,d,08:53,0.63,R1
135,b,09:31,0.31,R3
136,a,08:11,0.36,R4
136,c,08:33,0.64,R2
136,b,09:12,0.16,R3
137,a,08:19,0.47,R4
137,d,08:47,0.88,R1
137,b,09:41,0.07,R3
138,a,08:15,0.08,R3
138,d,08:20,0.59,R1
138,b,08:56,0.3,R3
139,a,08:03,0.31,R3
139,c,08:22,0.92,R2
139,b,09:18,0.09,R3
140,a,08:20,0.15,R4
140,c,08:29,0.97,R2
140,b,09:28,0.44,R4
141,a,09:16,0.05,R3
141,d,09:19,0.53,R1
141,b,09:51,0.18,R3
142,a,08:20,0.25,R3
142,d,08:35,0.74,R1
142,b,09:20,0.12,R3
143,a,08:01,0.15,R3
143,d,08:11,0.88,R1
143,b,09:04,0.33,R4
144,a,08:15,0.16,R3
144,d,08:24,0.5,R1
144,b,08:54,0.04,R4
145,a,09:26,0.14,R3
145,c,09:34,0.69,R2
145,b,10:16,0.3,R3
146,a,08:19,0.02,R4
146,d,08:20,0.78,R1
146,b,09:08,0.33,R4
147,a,08:30,0.13,R3
147,c,08:38,0.78,R2
147,b,09:25,0.24,R3
148,a,08:13,0.02,R3
148,c,08:14,0.84,R2
148,b,09:05,0.07,R3
149,a,09:02,0.09,R4
149,d,09:07,0.96,R1
149,b,10:05,0.49,R3
150,a,08:19,0.29,R4
150,c,08:37,0.6,R2
150,b,09:13,0.37,R4
151,a,09:01,0.11,R3
151,d,09:07,0.57,R1
151,b,09:42,0.33,R3
152,a,09:12,0.49,R3
152,d,09:42,0.7,R1
152,b,10:25,0.2,R4
153,a,09:31,0.09,R4
153,c,09:37,0.93,R2
153,b,10:33,0.44,R4
154,a,08:11,0.15,R4
154,c,08:20,0.66,R2
154,b,09:00,0.16,R3
155,a,08:03,0.04,R4
155,d,08:05,0.94,R1
155,b,09:02,0.12,R3
156,a,08:29,0.46,R3
156,d,08:57,0.54,R1
156,b,09:30,0.29,R4
157,a,08:09,0.36,R3
157,c,08:31,0.53,R2
157,b,09:03,0.26,R4
158,a,08:22,0.24,R4
158,d,08:37,0.9,R1
158,b,09:31,0.21,R3
159,a,08:26,0.34,R3
159,c,08:46,0.78,R2
159,b,09:33,0.04,R4
160,a,08:03,0.44,R4
160,c,08:29,0.84,R2
160,b,09:20,0.47,R4
161,a,08:04,0.28,R4
161,d,08:21,0.8,R1
161,b,09:10,0.42,R4
162,a,08:05,0.41,R4
162,c,08:30,0.56,R2
162,b,09:04,0.15,R4
163,a,08:03,0.32,R4
163,d,08:22,0.56,R1
163,b,08:56,0.34,R3
164,a,08:53,0.35,R3
164,d,09:15,0.79,R1
164,b,10:03,0.24,R3
165,a,08:12,0.36,R3
165,c,08:34,0.94,R2
165,b,09:30,0.41,R4
166,a,11:09,0.44,R3
166,d,11:36,0.72,R1
166,b,12:19,0.28,R3
167,a,08:17,0.16,R3
167,d,08:27,0.55,R1
167,b,09:00,0.47,R4
168,a,08:12,0.14,R4
168,c,08:20,0.75,R2
168,b,09:06,0.33,R4
169,a,08:25,0.42,R3
169,d,08:50,0.65,R1
169,b,09:30,0.15,R4
170,a,08:18,0.37,R3
170,c,08:40,0.82,R2
170,b,09:30,0.13,R3
171,a,08:03,0.09,R3
171,d,08:09,0.67,R1
171,b,08:49,0.33,R4
172,a,09:24,0.03,R3
172,d,09:26,0.9,R1
172,b,10:21,0.18,R3
173,a,09:14,0.19,R3
173,c,09:26,0.87,R2
173,b,10:18,0.11,R3
174,a,08:34,0.27,R3
174,c,08:50,0.52,R2
174,b,09:22,0.08,R4
175,a,08:32,0.28,R4
175,d,08:49,0.99,R1
175,b,09:49,0.03,R4
176,a,08:14,0.08,R4
176,c,08:19,0.77,R2
176,b,09:06,0.46,R4
177,a,08:13,0.24,R3
177,d,08:28,0.7,R1
177,b,09:10,0.35,R3
178,a,08:43,0.19,R3
178,d,08:55,0.68,R1
178,b,09:36,0.34,R3
179,a,08:31,0.05,R3
179,d,08:34,0.61,R1
179,b,09:10,0.36,R3
180,a,08:11,0.04,R3
180,c,08:14,0.61,R2
180,b,08:50,0.37,R4
181,a,08:04,0.07,R3
181,c,08:09,0.9,R2
181,b,09:03,0.47,R4
182,a,08:01,0.11,R4
182,d,08:07,0.89,R1
182,b,09:01,0.1,R3
183,a,08:12,0.12,R4
183,d,08:20,0.85,R1
183,b,09:11,0.14,R4
184,a,09:24,0.25,R4
184,d,09:39,0.59,R1
184,b,10:14,0.47,R3
185,a,08:04,0.13,R4
185,d,08:11,0.54,R1
185,b,08:44,0.26,R4
186,a,08:17,0.11,R4
186,c,08:24,0.86,R2
186,b,09:16,0.06,R4
187,a,08:19,0.16,R4
187,d,08:29,0.7,R1
187,b,09:11,0.3,R4
188,a,08:12,0.11,R3
188,c,08:19,0.67,R2
188,b,08:59,0.36,R3
189,a,08:24,0.24,R4
189,d,08:38,0.57,R1
189,b,09:13,0.2,R3
190,a,08:06,0.3,R4
190,c,08:24,0.96,R2
190,b,09:22,0.35,R3
191,a,10:27,0.3,R4
191,c,10:45,0.69,R2
191,b,11:27,0.16,R4
192,a,08:10,0.37,R4
192,d,08:33,0.94,R1
192,b,09:30,0.49,R3
193,a,08:06,0.08,R3
193,d,08:11,0.77,R1
193,b,08:58,0.2,R4
194,a,08:06,0.43,R4
194,c,08:32,0.7,R2
194,b,09:15,0.25,R3
195,a,08:22,0.03,R3
195,c,08:24,0.72,R2
195,b,09:08,0.29,R4
196,a,08:04,0.15,R4
196,d,08:12,0.54,R1
196,b,08:45,0.43,R4
197,a,08:03,0.39,R4
197,d,08:27,0.53,R1
